Name, Address, Zipcode, Distance_from_94607, lat, lng 
Old Mandarin Islamic,  3132 Vicente St. San Francisco, 94116, 19.306, 37.73821, -122.500747
R & G Lounge,  631 Kearny St. San Francisco, 94108, 8.473, 37.79411, -122.404731
S&T Hong Kong Seafood,  2588 Noriega San Francisco, 94122, 14.797, 37.75359, -122.491363
Spices I,  294 Eighth Ave. San Francisco, 94118, 13.115, 37.78293, -122.466583
Spices II,  291 Sixth Ave. San Francisco, 94118, 13.010, 37.78320, -122.464447
Burma Super Star,  309 Clement St. San Francisco, 94118, 12.891, 37.78305, -122.462532
Coriya Restaurant,  852 Clement St. San Francisco, 94118, 13.199, 37.78278, -122.468208
Dragon River,  5045 Geary Blvd. San Francisco, 94118, 13.349, 37.78054, -122.473365
Eliza's,  2877 California San Francisco, 94115, 11.901, 37.78790, -122.441741
Eric's Restaurant,  1500 Church St. San Francisco, 94131, 11.744, 37.74674, -122.426956
Green Garden,  434 Broadway San Francisco, 94133, 8.987, 37.79814, -122.404495
Hakkasan,  1 Kearny St. San Francisco, 94108, 8.314, 37.78796, -122.403480
House of Nanking,  919 Kearny St. San Francisco, 94133, 8.602, 37.79659, -122.405235
Jai Yun,  680 Clay San Francisco, 94111, 8.432, 37.79450, -122.404495
Lucky Fortune Seafood Restaurant,  5715 Geary Blvd. San Francisco, 94121, 13.874, 37.78021, -122.480773
Mama Ji's,  4416 18th St. San Francisco, 94114, 11.097, 37.76067, -122.438667
Mayflower,  6255 Geary Blvd. San Francisco, 94121, 14.193, 37.77994, -122.486625
Miriwa,  728 Pacific San Francisco, 94133, 9.339, 37.79685, -122.407295
Nan King Road Bistro,  1360 9th Ave. San Francisco, 94122, 12.825, 37.76292, -122.466232
Shanghai Dumpling King,  3319 Balboa St. San Francisco, 94121, 14.382, 37.77584, -122.494483
Taiwan Restaurant,  445 Clement St. San Francisco, 94118, 13.025, 37.78298, -122.463836
The Pot Sticker,  150 Waverly Place San Francisco, 94108, 8.592, 37.79464, -122.406921
Wo Hing General Store,  584 Valencia St. San Francisco, 94110, 10.354, 37.76355, -122.421752
Y. Ben House,  835 Pacific Ave. San Francisco, 94133, 9.416, 37.79662, -122.409118
Mission Chinese Food,  2234 Mission St. San Francisco, 94110, 10.396, 37.76116, -122.419288
Cheung Hing,  2339 Noriega St. San Francisco, 94122, 14.650, 37.75371, -122.488677
China First,  336 Clement St. San Francisco, 94118, 12.914, 37.78303, -122.462951
Hakka Restaurant,  4401 Cabrillo St. San Francisco, 94121, 14.882, 37.77345, -122.505905
Henry's Hunan Restaurant,  110 Natoma St. San Francisco, 94105, 7.843, 37.78708, -122.398948
Hunan Cafe No. 2,  4450 Cabrillo St. San Francisco, 94121, 14.922, 37.77343, -122.506629
Just Won Ton,  1241 Vicente St. San Francisco, 94116, 16.182, 37.73911, -122.480148
Tsing Tao Chinese,  3107 Clement St San Francisco, 94121, 14.650, 37.78167, -122.492599
Shanghai House,  3641 Balboa St. San Francisco, 94121, 14.558, 37.77569, -122.497756
Shangri-La Vegetarian Chinese,  2026 Irving St. San Francisco, 94122, 13.469, 37.76347, -122.479553
Kappa,  1700 Post St. San Francisco, 94115, 11.333, 37.78555, -122.430061
Keiko A Nob Hill,  1250 Jones St. San Francisco, 94109, 8.969, 37.79302, -122.414459
Kyo-ya,  2 New Montgomery San Francisco, 94105, 8.127, 37.78860, -122.401901
Nojo ,  231 Franklin St. San Francisco, 94102, 10.465, 37.77669, -122.421272
Yoshi's San Francisco,  1330 Fillmore St. San Francisco, 94115, 10.966, 37.78171, -122.432388
Domo ,  511 Laguna St. San Francisco, 94102, 10.244, 37.77586, -122.426162
Eiji ,  317 Sanchez St. San Francisco, 94114, 10.579, 37.76410, -122.430854
Ichi Sushi + Ni Restaurant,  3282 Mission St. San Francisco, 94110, 11.494, 37.74425, -122.420753
Izakaya Sozai,  1500 Irving St. San Francisco, 94122, 13.174, 37.76369, -122.474136
Izakaya Yuzuki,  598 Guerrero St. San Francisco, 94110, 10.824, 37.76156, -122.423843
Juban,  1581 Webster St. San Francisco, 94115, 11.106, 37.78525, -122.431427
Kiji ,  1009 Guerrero St. San Francisco, 94110, 11.065, 37.75481, -122.423095
Koo  ,  408 Irving St. San Francisco, 94122, 12.530, 37.76422, -122.462287
Lunc ,  704 Sutter St. San Francisco, 94109, 9.414, 37.78880, -122.411979
Maki ,  1825 Post St. San Francisco, 94115, 11.140, 37.78531, -122.431922
Minako,  2154 Mission St. San Francisco, 94110, 10.302, 37.76253, -122.419433
Nagano Sushi,  3727 Geary Blvd. San Francisco, 94118, 12.592, 37.78118, -122.459449
O Izakaya,  1625 Post St. San Francisco, 94115, 11.255, 37.78576, -122.428649
Ozumo,  161 Steuart St. San Francisco, 94105, 8.101, 37.79247, -122.392242
Roka Akor,  801 Montgomery Street San Francisco, 94133, 8.491, 37.79660, -122.403533
Skool,  1725 Alameda St. San Francisco, 94103, 8.954, 37.76871, -122.402229
Takara,  22 Peace Plaza San Francisco, 94115, 11.319, 37.78543, -122.429794
Alexander's Steakhouse,  448 Brannan St. San Francisco, 94107, 7.939, 37.77913, -122.395515
Blowfish Sushi to Die For,  2170 Bryant St. San Francisco, 94110, 9.566, 37.75955, -122.409896
Daimaru Sushi,  290 Sanchez San Francisco, 94114, 10.552, 37.76451, -122.430900
Ebisu,  1283 Ninth Ave. San Francisco, 94122, 12.728, 37.76433, -122.466339
Hana Zen,  115 Cyril Magnin San Francisco, 94102, 8.932, 37.78543, -122.408699
Iroha,  1728 Buchanan St. San Francisco, 94115, 9.696, 37.78619, -122.429931
Izakaya Hashiboro Kou,  1560 Fillmore St. San Francisco, 94115, 11.141, 37.78424, -122.432899
Izakaya Roku,  1819 Market St. San Francisco, 94103, 9.926, 37.77132, -122.423995
Kabuto,  5121 Geary Blvd. San Francisco, 94118, 13.406, 37.78049, -122.474403
Kappou Gomi,  5524 Geary Blvd. San Francisco, 94121, 14.084, 37.78044, -122.478584
Kitaro Japanese Restaurant,  5723 Geary Blvd. San Francisco, 94121, 13.870, 37.78021, -122.480697
Mifune,  1737 Post St. San Francisco, 94115, 11.334, 37.78555, -122.430084
Nombe,  2491 Mission St. San Francisco, 94110, 10.672, 37.75716, -122.418914
Sakesan Sushi & Bistro,  626 Clement St. San Francisco, 94118, 13.079, 37.78289, -122.465995
Sudachi,  1217 Sutter St. San Francisco, 94109, 9.305, 37.78770, -122.420532
Tataki,  2815 California St. San Francisco, 94115, 11.845, 37.78803, -122.440727
Tsunami Sushi & Sake Bar,  1306 Fulton St. San Francisco, 94117, 11.060, 37.77685, -122.438339
Hotei,  1290 Ninth Ave. San Francisco, 94122, 12.739, 37.76418, -122.466331
Moki's Sushi and Pacific Grill,  615 Cortland Ave. San Francisco, 94110, 11.467, 37.73899, -122.415756
Coco Bang,  550 Taylor St. San Francisco, 94102, 8.793, 37.78746, -122.411621
Korea House,  1640 Post St. San Francisco, 94115, 11.264, 37.78574, -122.428825
Seoul Garden,  22 Peace Plaza San Francisco, 94115, 11.319, 37.78543, -122.429794
A16  ,  2355 Chestnut St. San Francisco, 94123, 11.425, 37.80007, -122.442123
Acquerello,  1722 Sacramento St. San Francisco, 94109, 9.454, 37.79146, -122.421226
Ala Romana,  1098 Jackson St. San Francisco, 94133, 9.197, 37.79520, -122.413200
Albona Ristorante Istriano,  545 Francisco St. San Francisco, 94133, 9.820, 37.80460, -122.414154
Allegro,  1701 Jones St. San Francisco, 94109, 9.240, 37.79694, -122.415237
Amarena,  2162 Larkin St. San Francisco, 94109, 9.963, 37.79770, -122.420448
Americano Restaurant and Lounge,  8 Mission St. San Francisco, 94105, 8.150, 37.79362, -122.392700
Aperto,  1434 18th St. San Francisco, 94107, 9.572, 37.76256, -122.396865
Armani Cafe,  1 Grant Ave. San Francisco, 94108, 8.450, 37.78702, -122.404907
Barbacco,  230 California St. San Francisco, 94111, 8.114, 37.79330, -122.399345
Bella Trattoria,  3854 Geary Blvd. San Francisco, 94118, 12.715, 37.78125, -122.460609
Beretta,  1199 Valencia St. San Francisco, 94110, 11.022, 37.75370, -122.420814
Brindisi Cucina di Mare,  88 Belden Place San Francisco, 94104, 8.313, 37.79163, -122.403846
Cafe Altano,  602 Hayes St. San Francisco, 94102, 10.287, 37.77645, -122.426315
Cafe Tiramisu,  28 Belden Place San Francisco, 94104, 8.432, 37.79118, -122.403755
Cafe Zoetrope,  916 Kearny St. San Francisco, 94133, 8.604, 37.79656, -122.405227
Caffe d'Melanio,  1314 Ocean Ave. San Francisco, 94112, 14.632, 37.72400, -122.456695
Caffe Macaroni,  59 Columbus San Francisco, 94111, 8.499, 37.79629, -122.404457
Campanula,  701 Union St. San Francisco, 94133, 8.962, 37.80022, -122.411056
Capo's,  641 Vallejo St. San Francisco, 94133, 8.760, 37.79866, -122.408111
Capp's Corner,  1600 Powell St. San Francisco, 94133, 9.006, 37.79943, -122.410682
Chow ,  215 Church St. San Francisco, 94114, 10.323, 37.76715, -122.428909
Claudine,  8 Claude Lane San Francisco, 94108, 8.409, 37.78983, -122.404228
Credo,  360 Pine St. San Francisco, 94104, 8.196, 37.79197, -122.402015
Cupola,  845 Market St. San Francisco, 94103, 8.583, 37.78480, -122.407051
Da Flora,  701 Columbus Ave. San Francisco, 94133, 9.028, 37.80135, -122.411766
Delfina,  3621 18th St. San Francisco, 94110, 10.620, 37.76154, -122.424331
Dino's Pizza & Dining,  2101 Fillmore St. San Francisco, 94115, 11.464, 37.78891, -122.433845
E'Angelo,  2234 Chestnut St. San Francisco, 94123, 11.312, 37.80033, -122.440086
Farina,  3560 18th St. San Francisco, 94110, 10.543, 37.76162, -122.422920
Figaro,  414 Columbus Ave. San Francisco, 94133, 8.911, 37.79879, -122.407966
Fino ,  624 Post St. San Francisco, 94109, 9.203, 37.78778, -122.412338
Firewood Cafe,  4248 18th St. San Francisco, 94114, 11.000, 37.76078, -122.436897
Flour + Water,  2401 Harrison St. San Francisco, 94110, 9.747, 37.75891, -122.412483
Gialina,  2842 Diamond St San Francisco, 94131, 13.509, 37.73395, -122.434036
Gioia,  2240 Polk St. San Francisco, 94109, 10.051, 37.79750, -122.422103
Il Fornaio,  1265 Battery St. San Francisco, 94111, 9.099, 37.80292, -122.401924
Jackson Fillmore,  2506 Fillmore St. San Francisco, 94115, 10.780, 37.79262, -122.434608
Kuleto's,  221 Powell St. San Francisco, 94102, 8.672, 37.78652, -122.408073
L'Osteria Del Forno,  519 Columbus Ave. San Francisco, 94133, 8.851, 37.79965, -122.409324
La Ciccia,  291 30th St. San Francisco, 94131, 11.892, 37.74210, -122.426605
La Nebbia,  1781 Church St. San Francisco, 94131, 11.902, 37.74230, -122.426544
La Traviata,  2854 Mission St. San Francisco, 94110, 11.065, 37.75148, -122.418373
Leopold's,  2400 Polk St. San Francisco, 94109, 10.147, 37.79890, -122.422370
Little Joe's,  85 Fifth St. San Francisco, 94103, 8.558, 37.78289, -122.406684
Local Kitchen & Wine Merchant,  330 First St. San Francisco, 94105, 7.526, 37.78698, -122.394073
Locanda,  557 Valencia St. San Francisco, 94110, 10.322, 37.76402, -122.421798
Luce ,  888 Howard St. San Francisco, 94103, 8.459, 37.78186, -122.404472
Lupa ,  4109 24th St. San Francisco, 94114, 11.579, 37.75127, -122.434516
Macaroni Sciue Sciue,  124 Columbus Ave. San Francisco, 94133, 8.524, 37.79653, -122.404800
Manzoni,  2788 Diamond St. San Francisco, 94131, 13.565, 37.73475, -122.433792
Mescolanza,  2221 Clement St. San Francisco, 94121, 14.135, 37.78209, -122.483161
Mozzeria,  3228 16th St. San Francisco, 94103, 10.421, 37.76472, -122.424842
Nob Hill Cafe,  1152 Taylor St. San Francisco, 94108, 9.060, 37.79324, -122.412788
North Beach Restaurant,  1512 Stockton St. San Francisco, 94133, 9.977, 37.79965, -122.409034
Original Joe's,  601 Union St. San Francisco, 94133, 9.923, 37.80043, -122.409187
Osteria,  3277 Sacramento St. San Francisco, 94115, 12.395, 37.78821, -122.446746
Pane e Vino,  1715 Union St. San Francisco, 94123, 10.427, 37.79810, -122.427642
Park Chow,  1240 Ninth Ave. San Francisco, 94122, 12.674, 37.76512, -122.466384
Saison,  178 Townsend St. San Francisco, 94107, 7.924, 37.77928, -122.392227
Gary Danko,  800 North Point St. San Francisco, , 9.591, 37.78008, -122.420166
Michael Mina,  252 California St. San Francisco, 94111, 8.110, 37.79328, -122.399414
One Market,  1 Market St. San Francisco, 94105, 8.317, 37.79437, -122.394943
Prospect,  300 Spear St. San Francisco, 94105, 7.831, 37.79007, -122.390998
Sons & Daughters,  708 Bush St. San Francisco, 94108, 8.462, 37.79014, -122.408981
Spruce,  3640 Sacramento St. San Francisco, 94118, 12.563, 37.78746, -122.452697
Abbot's Cellar,  742 Valencia St. San Francisco, 94110, 10.526, 37.76101, -122.421516
Bix  ,  56 Gold St. San Francisco, 94133, 9.022, 37.79676, -122.402893
Boulevard,  1 Mission St. San Francisco, 94105, 8.167, 37.79344, -122.392921
Bourbon Steak,  335 Powell Street San Francisco, 94102, 8.622, 37.78769, -122.408309
Chenery Park,  683 Chenery St. San Francisco, 94131, 13.572, 37.73452, -122.433433
Chow ,  215 Church St. San Francisco, 94114, 10.323, 37.76715, -122.428909
Commonwealth,  2224 Mission St. San Francisco, 94110, 10.387, 37.76129, -122.419303
Frances,  3870 17th St. San Francisco, 94114, 10.763, 37.76268, -122.432281
Marlowe,  330 Townsend St. San Francisco, 94107, 8.421, 37.77654, -122.395698
Nopalito,  306 Broderick St. San Francisco, 94117, 10.888, 37.77299, -122.439109
Park Chow,  1240 Ninth Ave. San Francisco, 94122, 12.674, 37.76512, -122.466384
Park Tavern,  1652 Stockton St. San Francisco, 94133, 9.877, 37.80109, -122.409324
Range,  842 Valencia St. San Francisco, 94110, 10.639, 37.75935, -122.421356
St. Vincent,  1270 Valencia St. San Francisco, 94110, 11.100, 37.75256, -122.420707
The Cavalier,  360 Jessie St. San Francisco, 94103, 8.602, 37.78333, -122.406791
Tosca Cafe,  242 Columbus Ave. San Francisco, 94133, 9.145, 37.79745, -122.406044
Town Hall,  342 Howard St. San Francisco, 94105, 7.780, 37.78963, -122.394622
Trick Dog,  3010 20th St. San Francisco, 94110, 9.654, 37.75912, -122.410949
Trou Normand,  140 New Montgomery St. San Francisco, 94105, 7.971, 37.78684, -122.399726
Wayfare Tavern,  558 Sacramento St. San Francisco, 94111, 8.331, 37.79386, -122.402359
1300 on Fillmore,  1300 Fillmore San Francisco, 94115, 10.947, 37.78142, -122.432334
Baker & Banker,  1701 Octavia St. San Francisco, 94109, 9.459, 37.78796, -122.426910
Bar Agricole,  355 11th St. San Francisco, 94103, 9.063, 37.77121, -122.413208
Bar Jules,  609 Hayes St. San Francisco, 94102, 10.293, 37.77644, -122.426414
Circa,  2001 Chestnut St. San Francisco, 94123, 11.117, 37.80078, -122.436546
Comstock Saloon,  155 Columbus Ave. San Francisco, 94133, 8.532, 37.79661, -122.404914
Corner Store,  5 Masonic Avenue San Francisco, 94118, 11.909, 37.78154, -122.447677
Ella's,  500 Presidio Ave. San Francisco, 94115, 12.317, 37.78723, -122.446784
Fable,  558 Castro St. San Francisco, 94114, 10.963, 37.75991, -122.434898
Farmer Brown,  25 Mason St. San Francisco, 94102, 8.763, 37.78352, -122.409149
Firefly,  4288 24th St. San Francisco, 94114, 11.783, 37.75104, -122.438240
Fog City,  1300 Battery St. San Francisco, 94111, 9.136, 37.80345, -122.402030
Hard Water,  Pier 3 on the Embarcadero San Francisco, , 9.591, 37.78008, -122.420166
Hog & Rocks,  3431 19th St. San Francisco, 94110, 10.496, 37.76020, -122.419860
Kate's Kitchen,  471 Haight St. San Francisco, 94117, 10.269, 37.77217, -122.429931
Lark Creek Steak,  845 Market St. San Francisco, 94103, 8.583, 37.78480, -122.407051
Luna Park,  694 Valencia St. San Francisco, 94110, 10.474, 37.76178, -122.421585
Maverick,  3316 17th St. San Francisco, 94110, 10.262, 37.76341, -122.419921
Olea ,  1494 California St. San Francisco, 94109, 9.126, 37.79079, -122.418975
Oola Restaurant & Bar,  860 Folsom St. San Francisco, 94107, 8.118, 37.78095, -122.402534
Outerlands,  4001 Judah Street San Francisco, 94122, 14.992, 37.76047, -122.505004
Plow ,  1299 18th St. San Francisco, 94107, 9.501, 37.76264, -122.395584
PlumpJack's Balboa Cafe,  3199 Fillmore St. San Francisco, 94123, 11.240, 37.79895, -122.435874
Public House,  24 Willie Mays Plaza San Francisco, 94107, 7.975, 37.78126, -122.388481
RN74 ,  301 Mission St. San Francisco, 94105, 7.944, 37.79098, -122.396034
Salt House,  545 Mission St. San Francisco, 94105, 7.879, 37.78889, -122.398681
Sam's Grill,  374 Bush St. San Francisco, 94104, 8.173, 37.79080, -122.403686
Stones Throw,  1896 Hyde St. San Francisco, 94109, 9.523, 37.79803, -122.418838
Supperclub,  657 Harrison St. San Francisco, 94107, 7.667, 37.78325, -122.396545
Sutro's at the Cliff House,  1090 Point Lobos San Francisco, , 9.591, 37.78008, -122.420166
Tadich Grill,  240 California St. San Francisco, 94111, 8.106, 37.79328, -122.399497
TBD  ,  1077 Mission St. San Francisco, 94103, 8.848, 37.77959, -122.410461
The Blue Plate,  3218 Mission St. San Francisco, 94110, 11.431, 37.74506, -122.420234
The Rotunda,  150 Stockton St. San Francisco, 94108, 8.734, 37.78712, -122.406509
Tipsy Pig,  2231 Chestnut St. San Francisco, 94123, 11.307, 37.80034, -122.439979
Universal Cafe,  2814 19th St. San Francisco, 94110, 9.538, 37.76044, -122.410629
Waterfront Restaurant and Cafe,  Pier 7 on the Embarcadero San Francisco, , 9.591, 37.78008, -122.420166
Woodward's Garden,  1700 Mission St. San Francisco, 94103, 9.577, 37.76985, -122.420181
1760 ,  1760 Polk St. San Francisco, 94109, 9.383, 37.79292, -122.421173
21st Amendment Brewery Cafe,  563 Second St. San Francisco, 94107, 7.626, 37.78236, -122.392730
Bar Crudo,  655 Divisadero St. San Francisco, 94117, 10.960, 37.77552, -122.437950
Blue ,  2337 Market St. San Francisco, 94114, 10.690, 37.76344, -122.433952
BlueJay Cafe,  919 Divisadero St. San Francisco, 94115, 11.145, 37.77816, -122.438491
Bluestem Brasserie,  1 Yerba Buena Lane San Francisco, 94103, 8.364, 37.78614, -122.404769
Brazen Head,  3166 Buchanan St. San Francisco, 94123, 11.069, 37.79921, -122.432571
Burritt Room + Tavern,  417 Stockton St. San Francisco, 94108, 8.515, 37.78986, -122.407066
Candybar,  1335 Fulton St. San Francisco, 94117, 11.090, 37.77678, -122.438896
Citizen's Band,  1198 Folsom St. San Francisco, 94103, 8.823, 37.77498, -122.410072
Fly  ,  762 Divisadero St. San Francisco, 94117, 11.091, 37.77629, -122.438026
Garaje,  475 Third St. San Francisco, 94107, 7.816, 37.78170, -122.396286
Heirloom Cafe,  2500 Folsom St. San Francisco, 94110, 9.977, 37.75708, -122.414520
Herbivore,  531 Divisadero St. San Francisco, 94117, 10.879, 37.77434, -122.437713
3Hillstone (formerly Houston's),  1800 Montgomery St. San Francisco, 94111, 9.281, 37.80524, -122.405288
House of Prime Rib,  1906 Van Ness San Francisco, 94109, 10.207, 37.79312, -122.422813
Ironside,  680A Second St. San Francisco, 94107, 7.772, 37.78084, -122.390815
asper's Corner Tap,  401 Taylor St. San Francisco, 94102, 8.894, 37.78600, -122.411338
Joanie's Happy Days Diner,  1329 Columbus Ave. San Francisco, 94133, 10.052, 37.80653, -122.419219
Magnolia Gastropub & Brewery,  1398 Haight St. San Francisco, 94117, 11.121, 37.77020, -122.445350
Mason Pacific,  1358 Mason Street San Francisco, 94133, 9.321, 37.79597, -122.411659
Maxfield's,  2 New Montgomery St. San Francisco, 94105, 8.127, 37.78860, -122.401901
Miller's East Coast West Delicatessen,  1725 Polk St. San Francisco, 94109, 9.360, 37.79259, -122.421112
Monk's Kettle,  3141 16th St. San Francisco, 94103, 10.314, 37.76487, -122.422866
Nob Hill Grille,  969 Hyde St. San Francisco, 94109, 8.961, 37.78990, -122.417182
Palace,  3047 Mission Street San Francisco, 94110, 11.239, 37.74868, -122.418098
2Paragon Restaurant & Bar,  701 Second St. San Francisco, 94107, 7.794, 37.78062, -122.390533
Park Chalet,  1000 Great Hwy. San Francisco, 94121, 15.204, 37.76888, -122.510643
Perry's on the Embarcadero,  155 Steuart St. San Francisco, 94105, 8.118, 37.79265, -122.392463
Presidio Social Club,  563 Ruger St. San Francisco, 94129, 11.931, 37.79714, -122.447998
Morton's the Steakhouse,  400 Post St. San Francisco, 94102, 8.531, 37.78825, -122.408782
Globe,  290 Pacific San Francisco, 94111, 8.394, 37.79767, -122.400772
Boudin at the Wharf,  160 Jefferson St. San Francisco, 94133, 10.004, 37.80832, -122.414985
Washington Square Bar & Grill,  1707 Powell St. San Francisco, 94133, 8.954, 37.80031, -122.410842
Per Diem,  43 Sutter St. San Francisco, 94104, 8.273, 37.79017, -122.401260
'Wichcraft,  868 Mission St. San Francisco, 94103, 8.685, 37.78339, -122.405693
Woodhouse Fish Company,  2073 Market St. San Francisco, 94114, 10.271, 37.76776, -122.428489
Beach Chalet,  1000 Great Hwy. San Francisco, 94121, 15.204, 37.76888, -122.510643
Q    ,  225 Clement St. San Francisco, 94118, 12.842, 37.78309, -122.461692
Rick's Restaurant & Bar,  1940 Taraval St. San Francisco, 94116, 17.245, 37.74255, -122.487098
Sauce,  131 Gough St. San Francisco, 94102, 10.164, 37.77462, -122.422538
Sea Breeze Cafe,  3940 Judah St. San Francisco, 94122, 14.965, 37.76049, -122.504524
Seaglass,  Pier 15 San Francisco, 94133, 10.088, 37.80963, -122.417060
Sears Fine Foods,  439 Powell St. San Francisco, 94102, 8.553, 37.78867, -122.408508
Serpentine,  2495 Third St. San Francisco, 94107, 9.327, 37.75989, -122.388397
Solstice,  2801 California San Francisco, 94115, 11.832, 37.78806, -122.440498
St. Francis Fountain,  2801 24th St. San Francisco, 94110, 10.076, 37.75285, -122.408325
The Bell Tower,  1900 Polk St. San Francisco, 94109, 10.062, 37.79414, -122.421409
Mamacita,  2317 Chestnut St. San Francisco, 94123, 11.388, 37.80015, -122.441459
Nopalito,  306 Broderick St. San Francisco, 94117, 10.888, 37.77299, -122.439109
Nopalito,  1224 Ninth Avenue San Francisco, 94122, 12.653, 37.76542, -122.466407
Padrecito,  901 Cole St. San Francisco, 94117, 11.675, 37.76581, -122.449974
Don Pisto's,  510 Union St. San Francisco, 94133, 9.992, 37.80060, -122.407936
La Taqueria,  2889 Mission St. San Francisco, 94110, 11.096, 37.75102, -122.418327
La Urbana,  661 Divisadero St. San Francisco, 94117, 10.979, 37.77578, -122.438011
Sabrosa Restaurant,  3200 Fillmore St. San Francisco, 94123, 11.240, 37.79895, -122.435874
Tacolicious (Mission),  741 Valencia St. San Francisco, 94110, 10.524, 37.76104, -122.421516
Chilango,  235 Church St. San Francisco, 94114, 10.328, 37.76707, -122.428901
Colibri Mexican Bistro,  438 Geary St. San Francisco, 94102, 8.885, 37.78707, -122.410522
Garaje,  475 Third St. San Francisco, 94107, 7.816, 37.78170, -122.396286
Mexico DF,  139 Steuart St. San Francisco, 94105, 8.127, 37.79274, -122.392570
Regalito Rosticeria,  3481 18th St. San Francisco, 94110, 10.443, 37.76173, -122.421089
Roosevelt Tamale Parlor,  2817 24th St. San Francisco, 94110, 10.062, 37.75283, -122.408569
Tres ,  130 Townsend St. San Francisco, 94107, 7.848, 37.78006, -122.391235
Tropisueno,  75 Yerba Buena Lane San Francisco, 94103, 8.853, 37.78533, -122.403770
Celia's Mexican Restaurant,  4019 Judah St. San Francisco, 94122, 15.002, 37.76046, -122.505187
San Jalisco ,  901 S Van Ness Ave San Francisco , 94110, 9.980, 37.75864, -122.416862
Colibri Mexican Bistro,  438 Geary St San Francisco, 94102, 8.885, 37.78707, -122.410522
Gracias Madre,  2211 Mission St San Francisco, 94110, 10.374, 37.76148, -122.419319
